From	To
P97821	Ctsc
P01887	B2m
P07758	Serpina1a
P35230	Reg3b
P16460	Ass1
P39039	Mbl1
P12246	Apcs
O89051	Itm2b
Q8VCS0	Pglyrp2
P29788	Vtn
Q61598	Gdi2
P14106	C1qb
P10605	Ctsb
Q91VI7	Rnh1
Q04447	Ckb
P52480	Pkm
P62897	Cycs
P09055	Itgb1
O89053	Coro1a
Q8R4V5	Oit3
Q99LJ1	Fuca1
Q9R182	Angptl3
O89023	Tpp1
Q8BPB5	Efemp1
Q9DBD0	Inhca
P54822	Adsl
P11835	Itgb2
P39061	Col18a1
Q8QZR3	Ces2a
O88342	Wdr1
Q9R1E6	Enpp2
Q03734	Serpina3m
Q9R1P3	Psmb2
O88668	Creg1
P48678	Lmna
P17879	Hspa1b
Q61696	Hspa1a
Q922D8	Mthfd1
Q9JKF6	Nectin1
Q91WG0	Ces2c
P97798	Neo1
Q00690	Sele
Q61362	Chi3l1
Q09PK2	Asprv1
P07146	Prss2
P70274	Selenop
Q8K1I3	Spp2
Q9JLJ2	Aldh9a1
P98086	C1qa
Q5XKE0	Mybpc2
P47877	Igfbp2
Q8CGK3	Lonp1
Q9D1H9	Mfap4
Q3SXB8	Colec11
O09164	Sod3
P97371	Psme1
P08226	Apoe
Q61398	Pcolce
Q00897	Serpina1d
P11499	Hsp90ab1
P10107	Anxa1
Q9D358	Acp1
Q91V92	Acly
Q60841	Reln
Q61112	Sdf4
Q62356	Fstl1
Q6GQT1	A2m
P06151	Ldha
Q08879	Fbln1
P28063	Psmb8
Q8C1A5	Thop1
Q62000	Ogn
P55292	Dsc2
Q60994	Adipoq
Q03311	Bche
Q91X79	Cela1
Q08761	Pros1
Q9EQ21	Hamp
P05017	Igf1
P16294	F9
Q8CF98	Colec10
P15535	B4galt1
Q9D7B1	Dus2
Q8K182	C8a
O35955	Psmb10
P34928	Apoc1
A2AVA0	Svep1
Q8CG14	C1s1
Q9CR36	Gkn1
P97321	Fap
Q9R1P0	Psma4
Q9D7S9	Chmp5
Q7TSK7	Adamtsl2
Q8BH61	F13a1
P40142	Tkt
Q7TMR0	Prcp
Q91X17	Umod
P08071	Ltf
P97467	Pam
Q9WVJ3	Cpq
Q00724	Rbp4
P40936	Inmt
Q07968	F13b
P13595	Ncam1
P00688	Amy2a5
Q61508	Ecm1
Q62351	Tfrc
P11672	Lcn2
Q60805	Mertk
O55234	Psmb5
Q9R100	Cdh17
P01868	Ighg1
P01869	Ighg1
P04247	Mb
P05208	Cela2a
Q9CYK2	Qpct
P07361	Orm2
P01027	C3
P07724	Alb
B2RU80	Ptprb
B5X0G2	Mup17
C0HKG5	Rnaset2a
C0HKG6	Rnaset2b
D3Z6Q9	Bin2
O35103	Omd
O35206	Col15a1
O54782	Man2b2
O55042	Snca
Q91ZZ3	Sncb
O70325	Gpx4
O70497	Fcn2
O70624	Myoc
O88456	Capns1
O88543	Cops3
O88545	Cops6
O88990	Actn3
P00683	Rnase1
P01901	H2-K1
P05555	Itgam
P06802	Enpp1
P0CW02	Ly6c1
P0CW03	Ly6c2
P10518	Alad
P11983	Tcp1
P14131	Rps16
P14206	Rpsa
P14602	Hspb1
P16092	Fgfr1
P21836	Ache
P24063	Itgal
P26638	Sars1
P26883	Fkbp1a
P29387	Gnb4
P62880	Gnb2
P35455	Avp
P35564	Canx
P41245	Mmp9
P46638	Rab11b
P62492	Rab11a
P47791	Gsr
P47811	Mapk14
P47915	Rpl29
P49935	Ctsh
P50431	Shmt1
P50580	Pa2g4
P53690	Mmp14
P56386	Defb1
P56480	Atp5f1b
P57096	Psca
P59325	Eif5
P61971	Nutf2
P62334	Psmc6
P62737	Acta2
P63268	Actg2
P68033	Actc1
P62814	Atp6v1b2
P62821	Rab1a
P62827	Ran
P63038	Hspd1
P63323	Rps12
P68037	Ube2l3
P70124	Serpinb5
P70232	Chl1
P70407	Cdh9
P70408	Cdh10
P97326	Cdh6
P70460	Vasp
P80317	Cct6a
P83940	Eloc
P84084	Arf5
P97300	Nptn
P97812	Ihh
Q00993	Axl
Q01705	Notch1
Q02053	Uba1
Q3TIW9	Enpp7
Q3U1J4	Ddb1
Q3UF25	Stimate
Q3UR85	Myrf
Q4PZA2	Ece1
Q60648	Gm2a
Q60710	Samhd1
Q60864	Stip1
Q61096	Prtn3
Q61166	Mapre1
Q61753	Phgdh
Q62028	Pla2r1
Q62426	Cstb
Q63918	Cavin2
Q64433	Hspe1
Q64449	Mrc2
Q64669	Nqo1
Q64737	Gart
Q6F3F9	Adgrg6
Q6P1C6	Lrig3
Q6P8U6	Pnlip
Q6PB93	Galnt2
Q6PHU5	Sort1
Q7TNG5	Eml2
Q7TPZ8	Cpa1
Q80YA8	Crb2
Q8BG32	Psmd11
Q8BGQ7	Aars1
Q8BH34	Sema3d
Q8BH64	Ehd2
Q8BV57	Ssc5d
Q8BVG4	Dpp9
Q8BWT1	Acaa2
Q8C102	Galnt5
Q8CJH3	Plxnb1
Q8K135	Kiaa0319l
Q8K4G1	Ltbp4
Q8R081	Hnrnpl
Q8R0Z6	Angptl6
Q8R1B4	Eif3c
Q8VBV7	Cops8
Q8VC49	Ifi27l2b
Q8VCK7	Sycn
Q8VHY0	Cspg4
Q91W89	Man2c1
Q91X52	Dcxr
Q91X91	Qprt
Q91XE4	Acy3
Q91XE9	Creb3l3
Q921V5	Mgat2
Q923T9	Camk2g
Q99J45	Nrbp1
Q99J77	Nans
Q99J85	Nptxr
Q99JI6	Rap1b
Q99K85	Psat1
Q99KI0	Aco2
Q99KQ4	Nampt
Q99L27	Gmpr2
Q9DCZ1	Gmpr
Q99L47	St13
Q99P91	Gpnmb
Q9CPV4	Glod4
Q9CS84	Nrxn1
Q9CWK8	Snx2
Q9WV80	Snx1
Q9CXI5	Manf
Q9CY64	Blvra
Q9D2V7	Coro7
Q9D5J6	Shpk
Q9D662	Sec23b
Q9D6Y7	Msra
Q9D6Y9	Gbe1
Q9D7R7	Pgc
Q9D819	Ppa1
Q9D892	Itpa
Q9D906	Atg7
Q9DC50	Crot
Q9DCJ9	Npl
Q9EP95	Retnla
Q9EPL0	Xylt2
Q9ERK4	Cse1l
Q9JHP7	Poglut2
Q9JHR7	Ide
Q9JHU4	Dync1h1
Q9JKS4	Ldb3
Q9JM83	Calm4
Q9QUG9	Rasgrp2
Q9QXD1	Acox2
Q9QXS1	Plec
Q9QZ85	Iigp1
Q9QZF2	Gpc1
Q9R0B9	Plod2
Q9R0M5	Tpk1
Q9WVK4	Ehd1
Q9Z0J0	Npc2
Q9Z0N1	Eif2s3x
Q9Z1Q9	Vars1
